"","Family","Species_name","Genus","F_mass","M_mass","F_tail","M_tail","Clutch_size","Mating_System","Display","Resource"
"65","82","Aethia pygmaea","Aethia",118.1,127,25.7,25.6,1,NA,NA,NA
"66","8","Afropavo congensis","Afropavo",NA,NA,190,221,3,NA,"1",NA
"67","91","Agamia agami","Agamia",475,535,NA,NA,NA,NA,NA,NA
"68","45","Agapornis fischeri","Agapornis",NA,NA,42,42,5.5,NA,"1","0"
"69","45","Agapornis lilianae","Agapornis",36.5,40,39,40,6.5,NA,"1","0"
"70","45","Agapornis personatus","Agapornis",56,49,42,44,5.5,NA,"1","0"
"71","45","Agapornis pullarius","Agapornis",NA,NA,43,40,4.5,NA,"1","1"
"72","45","Agapornis roseicollis","Agapornis",NA,NA,47,48,5,NA,"2","0"
"73","45","Agapornis swindernianus","Agapornis",NA,40,36,35,NA,NA,NA,"0"
"74","45","Agapornis taranta","Agapornis",56,59,45,46,5,NA,"1","1"
"75","146","Agelaius phoeniceus","Agelaius",39.6,57.3,74.2,91.7,3.28,"4","4","1"
"76","146","Agelaius tricolor","Agelaius",45.5,67.5,68.9,81.1,3.5,"4","1","0"
"77","9","Agelastes meleagrides","Agelastes",NA,NA,138.5,152.5,NA,NA,NA,NA
"78","9","Agelastes niger","Agelastes",NA,NA,148,156,NA,NA,NA,NA
"79","48","Aglaeactis castelnaudii","Aglaeactis",6.2,7.2,NA,NA,NA,NA,NA,NA
"80","48","Aglaeactis cupripennis","Aglaeactis",8.2,7.9,NA,NA,NA,NA,NA,NA
"81","48","Aglaeactis pamela","Aglaeactis",5.8,5.2,NA,NA,NA,NA,NA,NA
"82","48","Aglaiocercus kingi","Aglaiocercus",4.7,5.1,NA,NA,NA,NA,NA,NA
"83","113","Ailuroedus buccoides","Ailuroedus",NA,NA,NA,NA,NA,"2",NA,NA
"84","113","Ailuroedus crassirostris","Ailuroedus",NA,NA,NA,NA,NA,"2",NA,NA
"85","146","Aimophila aestivalis","Aimophila",NA,NA,59.3,61.9,3.9,NA,NA,"2"
"86","146","Aimophila botterii","Aimophila",21,19.7,63.3,66.1,3.3,"2","2","1"
"87","146","Aimophila carpalis","Aimophila",15,15,60.9,63,3.52,NA,"1","2"
"88","146","Aimophila cassinii","Aimophila",18.1,17.8,66.4,67.8,3.99,"2","3","1"
"89","146","Aimophila quinquestriata","Aimophila",NA,NA,NA,68.7,3.5,NA,NA,NA
"90","146","Aimophila ruficeps","Aimophila",17.4,18.1,64.8,67.7,3.45,"2","2","1"
"91","14","Aix galericulata","Aix",512,628,99.3,101,11.5,NA,NA,NA
"92","14","Aix sponsa","Aix",671,680,NA,NA,10.95,"2",NA,NA
"93","94","Ajaia ajaja","Ajaia",1520,1430,NA,NA,NA,NA,"1","1"
"94","141","Alaemon alaudipes","Alaemon",34.5,43,76.4,84.4,2.88,NA,NA,NA
"95","141","Alaemon hamertoni","Alaemon",NA,NA,NA,NA,NA,NA,NA,NA
"96","141","Alauda arvensis","Alauda",34.6,38.2,61.5,66.2,4,"2","3","1"
"97","141","Alauda gulgula","Alauda",25.5,26.6,51.7,54.1,NA,NA,NA,NA
"98","141","Alauda razae","Alauda",NA,NA,43.8,48.1,3,NA,"3","1"
"99","82","Alca torda","Alca",700,734,78.4,75.7,1,"2","1","0"
"100","34","Alcedo atthis","Alcedo",43.8,40.9,37.4,36.2,6.5,NA,"4","0"
"101","34","Alcedo azurea","Alcedo",34.3,33.4,36.2,36.1,5.6,NA,"4","1"
"102","34","Alcedo cristata","Alcedo",NA,NA,NA,NA,NA,NA,NA,NA
