"","Family","F_mass","M_mass","F_tail","M_tail","Clutch_size","Common_Mating_System","Common_Display","Common_Resource"
"56",87,220.2,218.7,99.1,107.6,1,2,4,0
"57",88,1987.48571428571,1781.31428571429,192.533333333333,193.5,1.275,2,NA,NA
"58",89,1790,1759,242.3,241.65,3.82,NA,3,1
"59",90,1678.76956521739,2011.47391304348,127.227272727273,135.445454545455,3.01055555555556,NA,1,NA
"60",91,770.504545454545,945.445833333333,96.6625,106.076470588235,3.69241379310345,NA,NA,NA
"61",93,2057.5,2754.5,135,143.5,1,NA,1,0
"62",94,1199.71111111111,1395.84,114.3,121.725,2.9375,NA,NA,NA
"63",95,5076,6907.5,150.625,158.5,2.31666666666667,NA,1,NA
"64",96,3384.21428571429,3816.57142857143,103.5,107.3,2.74,NA,NA,NA
"65",97,1426.25,1168.5,392.675,378.5,1,2,2,0
"66",98,6609.32307692308,7749.9,63.84,69.9,1.79166666666667,2,1,NA
"67",99,3111.7,3558.6,55.575,58.975,1.938,2,NA,NA
"68",100,1588.86829268293,1835.44634146341,119.458823529412,121.694117647059,1,2,1,0
"69",101,13.3,10.7,21.05,21.65,3.55,2,1,2
"70",102,85.2333333333333,83.675,44.9333333333333,46.9,3.5,NA,NA,NA
"71",105,31.065625,31.2073170731707,76.8068965517241,81.51,3.5653125,2,NA,NA
"72",111,27.0833333333333,28.55,65.2333333333333,66.5666666666667,2.25,2,NA,NA
"73",112,447.25,693.1,227.575,352.85,1.25,NA,1,1
"74",114,13.3772727272727,14.9541666666667,76.5333333333333,79.6388888888889,2.75,2,1,2
"75",115,28.3066666666667,33.0493333333333,81.9927272727273,87.0127272727273,2.31527027027027,2,NA,1
"76",116,11.9708333333333,12.5893617021277,46.2081081081081,47.7432432432432,2.86734693877551,2,1,NA
"77",117,17.4666666666667,20.2409090909091,61.2173913043478,63.904347826087,2.23913043478261,2,1,2
"78",119,95.15,124.2,83.05,99.9,1.5,2,1,NA
"79",120,48.975,51.5,90.125,91.625,3,2,NA,NA
"80",121,45.8705882352941,45.9411764705882,93.9,96.3,4.04666666666667,NA,NA,1
"81",122,12.5555555555556,12.6111111111111,49.7,50.8166666666667,3.53307692307692,2,NA,NA
"82",123,110.435971223022,111.491891891892,94.9503703703704,99.2611510791367,2.85708333333333,NA,NA,NA
"83",125,196,NA,111,115.85,2.1,NA,NA,0
"84",126,33.6333333333333,35.5,54.9,70.4,3.64666666666667,2,1,0
"85",127,49.3333333333333,57.1333333333333,47.75,50.65,4.34,NA,3,2
"86",128,34.6275590551181,34.8477611940299,65.4343434343434,67.4242424242424,3.73058139534884,NA,NA,NA
"87",129,70.5066666666667,75.3822222222222,103.845454545455,110.490909090909,3.48409090909091,NA,NA,NA
"88",130,19.1333333333333,18.3888888888889,40.2111111111111,42.05,6.45,NA,NA,NA
"89",131,9.72857142857143,10.2285714285714,51.6571428571429,53.5714285714286,4.86823529411765,NA,NA,NA
"90",132,13.4363636363636,14.0636363636364,48.5642857142857,50.6034482758621,5.1052,NA,NA,NA
"91",134,20.2090909090909,20.0285714285714,59.775,62.0888888888889,4.58222222222222,NA,NA,NA
"92",135,5.9,6.225,41.2333333333333,43.2,8.3325,2,NA,NA
"93",136,30.4255319148936,35.0041666666667,83.2428571428571,90,2.3,NA,NA,NA
"94",137,51.3,48,103.7,110.5,4.12,NA,NA,NA
"95",138,10.8181818181818,12.5016949152542,47.5725,52.5409638554217,2.94149253731343,NA,NA,2
"96",139,11.8,10.3,42.07,42.67,2.53333333333333,NA,NA,NA
"97",140,19.6122807017544,22.2727272727273,59.1088235294118,61.3891304347826,3.23245454545455,NA,NA,1
"98",141,28.3363636363636,31.5056603773585,54.985,59.905,3.52842105263158,NA,NA,NA
"99",142,9.875,11.3887096774194,49.7142857142857,79.9454545454545,1.8075,NA,NA,NA
"100",145,21.8444444444444,23.0074074074074,49.3884792626728,56.4358744394619,3.32979695431472,NA,NA,1
"101",146,26.8385650224215,30.6189655172414,58.9124444444444,62.2517699115044,3.78540683770136,NA,NA,NA
